Unique_Scientific_Name,Wing_Chord,Bill_Depth
Aburria_aburri,325,9.8
Aburria_aburri,336,9
Aburria_aburri,NA,11.6
Aburria_aburri,343,11.3
Aburria_aburri,334,12
Aburria_aburri,354,10.3
Aburria_aburri,291,8
Aburria_aburri,359,10
Acanthidops_bairdii,68,5.8
Acanthidops_bairdii,67,5.4
Acanthidops_bairdii,68,5.1
Acanthidops_bairdii,61,4.9
Acanthisitta_chloris,41,2.4
Acanthisitta_chloris,44,2.4
Acanthisitta_chloris,44,2.4
Acanthisitta_chloris,48,2.3
Acanthisitta_chloris,58,NA
Acanthiza_apicalis,51.5,3
Acanthiza_apicalis,53.5,2.9
Acanthiza_apicalis,48,2.6
Acanthiza_apicalis,48.5,2.7
Acanthiza_chrysorrhoa,61,3
Acanthiza_chrysorrhoa,58,2.8
Acanthiza_chrysorrhoa,55,2.4
Acanthiza_chrysorrhoa,59,2.6
Acanthiza_chrysorrhoa,58.7,NA
Acanthiza_ewingii,49,2.5
Acanthiza_ewingii,52,2.5
Acanthiza_ewingii,50,2.6
Acanthiza_ewingii,52,2.5
Acanthiza_inornata,47.5,3.1
Acanthiza_inornata,46.5,2.8
Acanthiza_inornata,47,3.2
Acanthiza_inornata,47,2.9
Acanthiza_iredalei,48,2.6
Acanthiza_iredalei,48,2.6
Acanthiza_iredalei,46,2.3
Acanthiza_iredalei,46,2.4
Acanthiza_katherina,53.5,2.7
Acanthiza_katherina,50,2.7
Acanthiza_lineata,50.5,3.3
Acanthiza_lineata,52,3
Acanthiza_lineata,50,3
Acanthiza_lineata,45,2.8
Acanthiza_lineata,50.7,NA
Acanthiza_murina,56.5,3.4
Acanthiza_murina,57,2.8
Acanthiza_murina,58,2.9
Acanthiza_murina,58,2.7
Acanthiza_murina,54,3
Acanthiza_nana,52,3.1
Acanthiza_nana,50,3
Acanthiza_nana,49.5,3.1
Acanthiza_nana,47,2.9
Acanthiza_pusilla,50,2.2
Acanthiza_pusilla,50,2.5
Acanthiza_pusilla,51,2.8
Acanthiza_pusilla,56,2.9
Acanthiza_pusilla,51.8,NA
Acanthiza_reguloides,51,2.8
Acanthiza_reguloides,52,3.2
Acanthiza_reguloides,52,2.9
Acanthiza_reguloides,53,2.9
Acanthiza_reguloides,51.6,NA
Acanthiza_robustirostris,52,3
Acanthiza_robustirostris,49,2.7
Acanthiza_robustirostris,46.5,2.7
Acanthiza_robustirostris,54,2.8
Acanthiza_uropygialis,52.5,2.5
Acanthiza_uropygialis,51.5,2.5
Acanthiza_uropygialis,54,2.4
Acanthiza_uropygialis,52,2.2
Acanthorhynchus_superciliosus,61,2.2
Acanthorhynchus_superciliosus,58,2.2
Acanthorhynchus_superciliosus,60,3
Acanthorhynchus_superciliosus,59,2.9
Acanthorhynchus_tenuirostris,72,2.5
Acanthorhynchus_tenuirostris,70,2.9
Acanthorhynchus_tenuirostris,65,2.3
Acanthorhynchus_tenuirostris,68,2.7
Acanthorhynchus_tenuirostris,64.9,NA
Achaetops_pycnopygius,69,4.7
Achaetops_pycnopygius,66,4.5
Achaetops_pycnopygius,66.5,4.5
Achaetops_pycnopygius,67,4.4
Acridotheres_burmannicus,112,5.9
Acridotheres_burmannicus,107,5.5
Acridotheres_burmannicus,119,6.1
Acridotheres_burmannicus,117,6.2
Acridotheres_cinereus,130.5,7.9
Acridotheres_cinereus,124,6.9
Acridotheres_cinereus,116,7.1
Acridotheres_cinereus,133,7.9
Acridotheres_cristatellus,134,8.7
Acridotheres_cristatellus,130,8.3
Acridotheres_cristatellus,133.5,7.6
Acridotheres_cristatellus,128,7.9
Acridotheres_fuscus,127,7
Acridotheres_fuscus,117,7.5
Acridotheres_fuscus,125,7.3
Acridotheres_fuscus,128,7.3
Acridotheres_ginginianus,117.5,6.2
Acridotheres_ginginianus,123,6.8
Acridotheres_ginginianus,124,6.6
Acridotheres_ginginianus,114,6.5
Acridotheres_grandis,134,7.2
Acridotheres_grandis,136,8.6
Acridotheres_grandis,139,8
Acridotheres_grandis,129.5,7.8
Acridotheres_melanopterus,126,6.7
Acridotheres_melanopterus,120,6.2
Acridotheres_melanopterus,124,6
Acridotheres_melanopterus,126,6.2
Acridotheres_melanopterus,136,NA
Acridotheres_tristis,143,8.9
Acridotheres_tristis,142,8.2
Acridotheres_tristis,133,7.5
Acridotheres_tristis,136,8.4
Acrocephalus_aequinoctialis,73.5,3.5
Acrocephalus_agricola,55,2.7
Acrocephalus_agricola,53,2.7
Acrocephalus_agricola,55.5,2.9
Acrocephalus_agricola,55.5,3.1
Acrocephalus_agricola,60,NA
Acrocephalus_arundinaceus,95,5.2
Acrocephalus_arundinaceus,98,6
Acrocephalus_arundinaceus,91,5
Acrocephalus_arundinaceus,91,5
Acrocephalus_arundinaceus,96,NA
Acrocephalus_atyphus,89,4.4
Acrocephalus_atyphus,86,5.2
Acrocephalus_atyphus,86.5,5
Acrocephalus_atyphus,90,4.8
Acrocephalus_australis,73,4.1
Acrocephalus_australis,71,3.8
Acrocephalus_australis,68,3.7
Acrocephalus_australis,73,3.9
Acrocephalus_bistrigiceps,53.5,2.6
Acrocephalus_bistrigiceps,52,2.5
Acrocephalus_bistrigiceps,50.5,2.5
Acrocephalus_bistrigiceps,52.5,2.7
Acrocephalus_brevipennis,67,3.5
Acrocephalus_brevipennis,66,3.4
Acrocephalus_brevipennis,66,3.8
Acrocephalus_brevipennis,65.5,3.5
Acrocephalus_concinens,56,2.9
Acrocephalus_concinens,53.5,3
Acrocephalus_concinens,56,3
Acrocephalus_concinens,55.5,2.7
Acrocephalus_dumetorum,65.5,3
Acrocephalus_dumetorum,58.5,2.9
Acrocephalus_dumetorum,60,3.3
Acrocephalus_dumetorum,62,3.2
Acrocephalus_melanopogon,53,2.4
Acrocephalus_melanopogon,56,2.5
Acrocephalus_melanopogon,53,2.4
Acrocephalus_melanopogon,53,2.5
Acrocephalus_mendanae,102,5
Acrocephalus_mendanae,100,5
Acrocephalus_mendanae,93,5.1
Acrocephalus_mendanae,93.5,5.1
Acrocephalus_orinus,57.5,3.1
Acrocephalus_orinus,57.5,3.1
Acrocephalus_orinus,60,3.2
Acrocephalus_orinus,57,NA
Acrocephalus_paludicola,66,2.8
Acrocephalus_paludicola,60,2.9
Acrocephalus_paludicola,62.5,3
Acrocephalus_paludicola,59.5,2.8
Acrocephalus_palustris,64,3.5
Acrocephalus_palustris,68,3.3
Acrocephalus_palustris,66,3.4
Acrocephalus_palustris,68,3
Acrocephalus_rufescens,76.5,4.2
Acrocephalus_rufescens,73,4
Acrocephalus_rufescens,71,3.9
Acrocephalus_rufescens,73,4.3
Acrocephalus_schoenobaenus,66,2.9
Acrocephalus_schoenobaenus,66.5,2.8
Acrocephalus_schoenobaenus,63,2.9
Acrocephalus_schoenobaenus,67,2.8
Acrocephalus_stentoreus,80,4.8
Acrocephalus_stentoreus,79.5,4.7
Acrocephalus_stentoreus,77,4.7
Acrocephalus_stentoreus,74,4.8
Acrocephalus_tangorum,55,2.9
Acrocephalus_tangorum,52,2.8
Acrocephalus_tangorum,52,2.7
Acrocephalus_tangorum,55,2.8
Acropternis_orthonyx,102,6.2
Acropternis_orthonyx,88,5.8
Acropternis_orthonyx,91,6.8
Acropternis_orthonyx,101,6.5
Acropternis_orthonyx,96,NA
Actinodura_egertoni,84,5
Actinodura_egertoni,80.5,5.1
Actinodura_egertoni,85.5,4.8
Actinodura_egertoni,85,5.4
Actinodura_ramsayi,95,6.3
Actinodura_ramsayi,87,6.5
Actinodura_ramsayi,85,6
Actinodura_ramsayi,86,6.2
Actinodura_souliei,93.5,6
Actinodura_souliei,93.5,5.8
Actinodura_souliei,96,5.3
Actinodura_souliei,94,5.6
Actinodura_waldeni,92,5
Actinodura_waldeni,93.5,5.3
Actinodura_waldeni,89,4.4
Actinodura_waldeni,88,5.1
Actitis_hypoleucos,105,3.8
Actitis_hypoleucos,109,3.5
Actitis_hypoleucos,105,3.9
Actitis_hypoleucos,107,4.8
Actitis_macularius,100,2.9
Actitis_macularius,97,3.1
Actitis_macularius,97,3.2
Actitis_macularius,107,3.3
Aechmophorus_clarkii,200,12.8
Aechmophorus_clarkii,187,11.5
Aechmophorus_clarkii,189,11.3
Aechmophorus_clarkii,190,10.1
Aechmophorus_occidentalis,175,9.3
Aechmophorus_occidentalis,195,11
Aechmophorus_occidentalis,192,11.2
Aechmophorus_occidentalis,176,9.2
Aegithalos_concinnus,49,2.9
Aegithalos_concinnus,49,3.2
Aegithalos_concinnus,48,3
Aegithalos_concinnus,48,3.1
Aegithalos_fuliginosus,54,2.8
Aegithalos_fuliginosus,57,2.9
Aegithalos_fuliginosus,56.5,3.1
Aegithalos_fuliginosus,54,3.1
Aegithalos_iouschistos,56,2.9
Aegithalos_iouschistos,52.5,3
Aegithalos_iouschistos,55,2.8
Aegithalos_iouschistos,56.5,2.9
Aegithalos_iouschistos,58,NA
Aegithalos_leucogenys,53,3.3
Aegithalos_leucogenys,53,3.3
Aegithalos_leucogenys,53,3.3
Aegithalos_leucogenys,52,3.1
Aegolius_acadicus,143,10
Aegolius_acadicus,125,9.9
Aegolius_acadicus,138,11
Aegolius_acadicus,135,12.5
Aegolius_harrisii,160,12
Aegolius_harrisii,145,12
Aegolius_harrisii,152,13.2
Aegolius_harrisii,NA,12.8
Aegotheles_albertisi,114,4
Aegotheles_archboldi,116,2.6
Aegotheles_archboldi,117,2.6
Aegotheles_bennettii,123,3.8
Aegotheles_bennettii,121,4.2
Aegotheles_bennettii,125,3.7
Aegotheles_bennettii,122,3.7
Aegotheles_cristatus,133,3.2
Aegotheles_cristatus,136,3.7
Aegotheles_cristatus,134,4
Aegotheles_cristatus,140,3.7
Aegotheles_savesi,163,NA
Aegotheles_wallacii,125,4.1
Aegotheles_wallacii,120,3.6
Aegotheles_wallacii,112,4
Aegypius_monachus,730,38.5
Aegypius_monachus,735,39.2
Aegypius_monachus,727,40.4
Aegypius_monachus,745,41.2
Afrotis_afra,278,8.3
Afrotis_afra,300,9.2
Afrotis_afra,290,7.8
Afrotis_afra,276,8
Afrotis_afraoides,273,9
Afrotis_afraoides,280,8.1
Afrotis_afraoides,295,7.9
Afrotis_afraoides,281,8.1
Agapornis_fischeri,93,17.4
Agapornis_fischeri,93,16.3
Agapornis_fischeri,93,17
Agapornis_fischeri,92,16.1
Agapornis_lilianae,86,12.7
Agapornis_lilianae,89,14.4
Agapornis_lilianae,91,14
Agapornis_lilianae,89,14.3
Agapornis_lilianae,85,14.8
Agapornis_lilianae,92,14.6
Agapornis_nigrigenis,94,15.4
Agapornis_nigrigenis,93,14.8
Agapornis_nigrigenis,97,14.8
Agapornis_personatus,100,16.8
Agapornis_personatus,98,17.3
Agapornis_personatus,97,15.8
Agapornis_personatus,95,16.3
Agapornis_pullarius,84,11.7
Agapornis_pullarius,96,13.1
Agapornis_pullarius,96,13.3
Agapornis_pullarius,89,12.6
Agapornis_taranta,100,19
Agapornis_taranta,95,16
Agapornis_taranta,104,18.6
Agapornis_taranta,103,19.3
Agelaioides_badius,88,7.7
Agelaioides_badius,88,7.3
Agelaioides_badius,92,8.1
Agelaioides_badius,87,8.2
Agelaioides_oreopsar,111.5,10.5
Agelaioides_oreopsar,124,9.4
Agelaioides_oreopsar,114,9.7
Agelaioides_oreopsar,114,8.7
Agelaius_humeralis,105,7
Agelaius_humeralis,106,7.1
Agelaius_humeralis,105,7.4
Agelaius_humeralis,108,7.2
Agelaius_phoeniceus,127,9.8
Agelaius_phoeniceus,133,10.1
Agelaius_phoeniceus,121,8.8
Agelaius_phoeniceus,123,8.6
Agelaius_phoeniceus,98,7.8
Agelaius_phoeniceus,98,8.2
Agelaius_tricolor,120,8.1
Agelaius_tricolor,121,7.7
Agelaius_tricolor,105,6.7
Agelaius_tricolor,107,6.9
Agelaius_xanthomus,107,7
Agelaius_xanthomus,108,7.7
Agelaius_xanthomus,94,6.6
Agelaius_xanthomus,96,6.4
Agelasticus_cyanopus,93,8.6
Agelasticus_cyanopus,94,8.3
Agelasticus_cyanopus,81,7.5
Agelasticus_cyanopus,83,7
Agelasticus_xanthophthalmus,97,7.7
Agelasticus_xanthophthalmus,93,7.9
Agelasticus_xanthophthalmus,86,7.4
Agelasticus_xanthophthalmus,89,7.6
Aglaeactis_castelnaudii,73,2.1
Aglaeactis_castelnaudii,74,2.3
Aglaeactis_castelnaudii,78,2.4
Aglaeactis_castelnaudii,71,2.1
Aglaeactis_pamela,65,2.4
Aglaeactis_pamela,69,1.9
Aglaeactis_pamela,71,2.2
Aglaeactis_pamela,69,2
Agriornis_albicauda,142,8.5
Agriornis_albicauda,138,8.6
Agriornis_albicauda,141,9
Agriornis_albicauda,129.5,8.2
Agriornis_micropterus,121,7.5
Agriornis_micropterus,121,7.1
Agriornis_micropterus,123,6.6
Agriornis_micropterus,120,7.2
Agriornis_montanus,132.5,5.7
Agriornis_montanus,125,5.8
Agriornis_montanus,129.5,5.3
Agriornis_montanus,128.5,5.8
Agriornis_murinus,97,4
Agriornis_murinus,99,4.2
Agriornis_murinus,94,4.4
Agriornis_murinus,94,3.9
Agropsar_philippensis,103,4.7
Agropsar_philippensis,103,4.9
Agropsar_philippensis,106,4.7
Agropsar_philippensis,102,5
Agropsar_sturninus,107,5.3
Agropsar_sturninus,103,5
Agropsar_sturninus,106,5.2
Agropsar_sturninus,107,5.3
Aimophila_aestivalis,60,6.2
Aimophila_aestivalis,57,6
Aimophila_aestivalis,59,6.5
Aimophila_aestivalis,58,6.9
Aimophila_carpalis,62,6.4
Aimophila_carpalis,63,5.6
Aimophila_carpalis,60,6.1
Aimophila_carpalis,59,5.5
Aimophila_carpalis,64,NA
Aimophila_cassinii,67,5.2
Aimophila_cassinii,73.5,5.5
Aimophila_cassinii,65.5,5
Aimophila_cassinii,63,5.2
Aimophila_humeralis,67,7
Aimophila_humeralis,67,6.5
Aimophila_humeralis,69,6.6
Aimophila_humeralis,66,6.2
Aimophila_mystacalis,72,6
Aimophila_mystacalis,73,6.4
Aimophila_mystacalis,66,6.5
Aimophila_mystacalis,75,6.4
Aimophila_notosticta,67,6.9
Aimophila_notosticta,65.5,5.9
Aimophila_notosticta,67,5.9
Aimophila_notosticta,69,6.4
Aimophila_quinquestriata,70,6.8
Aimophila_quinquestriata,71.5,6.2
Aimophila_quinquestriata,67,6
Aimophila_quinquestriata,66.5,5.8
Aimophila_ruficeps,58,5
Aimophila_ruficeps,64,4.9
Aimophila_ruficeps,59,5
Aimophila_ruficeps,58.5,5
Aimophila_stolzmanni,67,9.8
Aimophila_stolzmanni,67,10.4
Aimophila_stolzmanni,69,9.8
Aimophila_stolzmanni,69,9.2
Aimophila_strigiceps,76,7.3
Aimophila_strigiceps,68,7.1
Aimophila_strigiceps,58,7.2
Aimophila_strigiceps,61,7.3
Aimophila_sumichrasti,68,7.2
Aimophila_sumichrasti,70,7
Aimophila_sumichrasti,71,7.2
Aimophila_sumichrasti,69,7.7
Aix_galericulata,228,10.8
Aix_galericulata,221,11.1
Aix_galericulata,220,11
Aix_galericulata,218,9.7
Aix_sponsa,229,12.5
Aix_sponsa,223,11.6
Aix_sponsa,215,10.8
Aix_sponsa,211,10
Alcedo_atthis,70.9,7.2
Alcedo_atthis,72,7.6
Alcedo_atthis,70.7,7.2
Alcedo_atthis,74,7
Alcedo_coerulescens,60.2,6.2
Alcedo_coerulescens,59.1,6.4
Alcedo_coerulescens,59.4,5.8
Alcedo_coerulescens,58.6,6.5
Alcedo_cristata,55.9,5.7
Alcedo_cristata,54.5,6.2
Alcedo_cristata,53.1,5.9
Alcedo_cristata,56.3,6.3
Alcedo_hercules,98,10.8
Alcedo_hercules,97,11.9
Alcedo_hercules,93,11
Alcedo_hercules,96,10.8
Alcedo_meninting,62,7.5
Alcedo_meninting,61,8
Alcedo_meninting,65,7.3
Alcedo_meninting,65,7.6
Alcedo_quadribrachys,78.5,9.3
Alcedo_quadribrachys,74.2,9.1
Alcedo_quadribrachys,77.7,9
Alcedo_quadribrachys,80.3,9.1
Alcedo_semitorquata,79.4,8.9
Alcedo_semitorquata,80.1,8.8
Alcedo_semitorquata,80.8,9.2
Alcedo_semitorquata,79.8,8.9
Alcedo_vintsioides,56.9,6.4
Alcedo_vintsioides,59.1,6.3
Alcedo_vintsioides,57.5,5.3
Alcedo_vintsioides,61.9,6.7
Alcippe_brunnea,56.5,4.3
Alcippe_brunnea,63,4.1
Alcippe_brunnea,60,3.9
Alcippe_brunnea,56,4
Alcippe_brunneicauda,69,4
Alcippe_brunneicauda,81,4.3
Alcippe_brunneicauda,71,4
Alcippe_brunneicauda,72,4.3
Alcippe_brunneicauda,69,3.9
Alcippe_brunneicauda,NA,NA
Alcippe_brunneicauda,NA,NA
Alcippe_brunneicauda,NA,NA
Alcippe_brunneicauda,NA,NA
Alcippe_castaneceps,55,2.9
Alcippe_castaneceps,54,2.8
Alcippe_castaneceps,52.5,2.6
Alcippe_castaneceps,52,2.6
Alcippe_cinerea,55.5,2.7
Alcippe_cinerea,55,2.8
Alcippe_cinerea,53,2.8
Alcippe_cinerea,52,3.1
Alcippe_cinereiceps,57.5,3.5
Alcippe_cinereiceps,57,3.3
Alcippe_cinereiceps,51,3.3
Alcippe_cinereiceps,53.5,3.5
Alcippe_dubia,58,4
Alcippe_dubia,56,3.7
Alcippe_dubia,59.5,3.6
Alcippe_dubia,58,3.8
Alcippe_dubia,54,3.6
Alcippe_grotei,66.5,4.2
Alcippe_grotei,67,4.3
Alcippe_grotei,65.5,4.3
Alcippe_grotei,65.5,3.8
Alcippe_manipurensis,49,3.1
Alcippe_manipurensis,56,3.3
Alcippe_manipurensis,52,3
Alcippe_manipurensis,54,3.5
Alcippe_morrisonia,63,3.4
Alcippe_morrisonia,61,3.8
Alcippe_morrisonia,59,4
Alcippe_morrisonia,63.5,3.8
Alcippe_peracensis,65,3.6
Alcippe_peracensis,63,3.7
Alcippe_peracensis,62,3.8
Alcippe_peracensis,63,3.8
Alcippe_rufogularis,56,3.8
Alcippe_rufogularis,54,3.5
Alcippe_rufogularis,55,3.5
Alcippe_rufogularis,55.5,3.7
Alcippe_striaticollis,59,3.5
Alcippe_striaticollis,58,3.4
Alcippe_striaticollis,56,3.4
Alcippe_striaticollis,57.5,3.6
Alcippe_vinipectus,56,3.4
Alcippe_vinipectus,57.5,3.2
Alcippe_vinipectus,53,3.1
Alcippe_vinipectus,61,3.1
Aleadryas_rufinucha,86,7
Aleadryas_rufinucha,85,7.4
Aleadryas_rufinucha,81,7.5
Aleadryas_rufinucha,80,7.5
Alectoris_barbara,172,10.8
Alectoris_barbara,160,9.5
Alectoris_barbara,156,8.5
Alectoris_barbara,156,8.5
Alectoris_chukar,153,8
Alectoris_chukar,155,8.5
Alectoris_chukar,161,9.3
Alectoris_chukar,152,7.5
Alectoris_graeca,171,9.8
Alectoris_graeca,158,8.8
Alectoris_graeca,151,8.6
Alectoris_graeca,150,8.5
Alectoris_magna,172,9.3
Alectoris_magna,173,11
Alectoris_magna,163,9.5
Alectoris_magna,175,11
Alectoris_melanocephala,187,12
Alectoris_melanocephala,199,12.5
Alectoris_melanocephala,172,10.5
Alectoris_melanocephala,NA,12.3
Alectoris_philbyi,166,10.2
Alectoris_philbyi,153,10
Alectoris_philbyi,161,10.1
Alectoris_philbyi,158,8.9
Alectoris_rufa,148,7.2
Alectoris_rufa,153,8.6
Alectoris_rufa,157,8.4
Alectoris_rufa,160,9.5
Alectrurus_risora,74,4.7
Alectrurus_risora,75,4.7
Alectrurus_risora,70,4.4
Alectrurus_risora,73,4.5
Alectrurus_tricolor,71,5
Alectrurus_tricolor,69,5
Alectrurus_tricolor,65,5
Alectrurus_tricolor,64,4.8
Alethe_diademata,92,4.8
Alethe_diademata,92,5.6
Alethe_diademata,96,5.7
Alethe_diademata,86,5
Alipiopsitta_xanthops,204,23.6
Alipiopsitta_xanthops,189,23.3
Alipiopsitta_xanthops,197,23.9
Alipiopsitta_xanthops,199,30.4
Alipiopsitta_xanthops,165,25.6
Alipiopsitta_xanthops,205,25.6
Alisterus_amboinensis,202,22.3
Alisterus_amboinensis,199,22.8
Alisterus_amboinensis,209,22
Alisterus_amboinensis,209,21
Alisterus_chloropterus,178,19.8
Alisterus_chloropterus,191,21
Alisterus_chloropterus,181,20.6
Alisterus_chloropterus,188,21.2
Alisterus_scapularis,211,20.7
Alisterus_scapularis,205,20.1
Alisterus_scapularis,218,19.4
Alisterus_scapularis,217,19.7
Allenia_fusca,121,5.5
Allenia_fusca,120,5.6
Allenia_fusca,126,5.9
Allenia_fusca,124,5.8
Allenia_fusca,117,NA
Alopochelidon_fucata,102,2.2
Alopochelidon_fucata,100,2.4
Alopochelidon_fucata,95,2.2
Alopochelidon_fucata,97,2.5
Alopochelidon_fucata,98,NA
Alopochen_aegyptiaca,392,18.1
Alopochen_aegyptiaca,403,16
Alopochen_aegyptiaca,360,16.9
Alopochen_aegyptiaca,350,16.3
Amadina_erythrocephala,73,9.1
Amadina_erythrocephala,73,9
Amadina_erythrocephala,71,8.4
Amadina_erythrocephala,70,9.1
Amadina_fasciata,67,7.6
Amadina_fasciata,64,7.4
Amadina_fasciata,66,7.6
Amadina_fasciata,68,7.6
Amalocichla_incerta,77,4.1
Amalocichla_incerta,76,4.4
Amalocichla_incerta,76,4.5
Amalocichla_incerta,72,4.2
Amalocichla_incerta,77,4.1
Amalocichla_sclateriana,108,7.7
Amalocichla_sclateriana,105,7.2
Amalocichla_sclateriana,98,6.6
Amalocichla_sclateriana,101,7.3
Amalocichla_sclateriana,100,7.1
Amandava_amandava,49,5.1
Amandava_amandava,46,5.1
Amandava_amandava,46,4.9
Amandava_amandava,47,5
Amandava_formosa,48.5,5.4
Amandava_formosa,48,5.4
Amandava_formosa,45,5
Amandava_formosa,48,5.1
Amandava_subflava,42,4.5
Amandava_subflava,43.5,5.1
Amandava_subflava,42,4.6
Amandava_subflava,44.5,4.3
Amandava_subflava,43,NA
Amaurocichla_bocagii,63,3.8
Amazona_agilis,166,23
Amazona_agilis,152,22.8
Amazona_agilis,173,23
Amazona_agilis,149,24.3
Amazona_albifrons,177,25.4
Amazona_albifrons,168,26.6
Amazona_albifrons,168,24.9
Amazona_albifrons,184,25.9
Amazona_albifrons,NA,NA
Amazona_albifrons,NA,NA
Amazona_albifrons,NA,NA
Amazona_albifrons,NA,NA
Amazona_amazonica,203,25
Amazona_amazonica,210,30.2
Amazona_amazonica,201,27.6
Amazona_amazonica,203,30.4
Amazona_amazonica,226,33.5
Amazona_amazonica,190,28.7
Amazona_amazonica,195,29.4
Amazona_arausiaca,240,34.7
Amazona_arausiaca,243,32.6
Amazona_arausiaca,238,34.8
Amazona_arausiaca,248,33.3
Amazona_auropalliata,204,35.7
Amazona_auropalliata,209,39.7
Amazona_auropalliata,194,33.6
Amazona_auropalliata,195,40
Amazona_brasiliensis,203,27.8
Amazona_brasiliensis,NA,30
Amazona_brasiliensis,NA,27.7
Amazona_brasiliensis,229,28.4
Amazona_brasiliensis,212,27.1
Amazona_brasiliensis,211,28.8
Amazona_brasiliensis,221,29.1
Amazona_brasiliensis,198,29
Amazona_collaria,175,27.8
Amazona_collaria,180,26.1
Amazona_collaria,184,27.6
Amazona_collaria,174,27.3
Amazona_dufresniana,196,32
Amazona_dufresniana,218,32.6
Amazona_dufresniana,208,32.9
Amazona_dufresniana,192,31.5
Amazona_farinosa,235,37
Amazona_farinosa,233,36.4
Amazona_farinosa,237,35.2
Amazona_farinosa,240,34.6
Amazona_farinosa,253,36
Amazona_farinosa,220,34
Amazona_festiva,208,31
Amazona_festiva,199,29.9
Amazona_festiva,198,29.5
Amazona_festiva,196,24.9
Amazona_finschi,190,32.1
Amazona_finschi,203,32.6
Amazona_finschi,186,31.3
Amazona_finschi,187,32.9
Amazona_guildingii,262,35.4
Amazona_guildingii,266,33.5
Amazona_guildingii,259,34.7
Amazona_guildingii,263,33.3
Amazona_kawalli,237,34.6
Amazona_kawalli,215,34.8
Amazona_kawalli,216,35.5
Amazona_kawalli,230,32.3
Amazona_kawalli,257,35.7
Amazona_kawalli,229,33.1
Amazona_kawalli,249,32.1
Amazona_leucocephala,204,27.7
Amazona_leucocephala,193,26.9
Amazona_leucocephala,206,28.8
Amazona_leucocephala,192,25.8
Amazona_ochrocephala,231,34.5
Amazona_ochrocephala,200,35.5
Amazona_ochrocephala,206,32.4
Amazona_ochrocephala,198,30.6
Amazona_oratrix,212,31.9
Amazona_oratrix,227,33.5
Amazona_oratrix,232,32
Amazona_oratrix,213,33.4
Amazona_pretrei,NA,20.8
Amazona_pretrei,209,21.9
Amazona_pretrei,204,22
Amazona_pretrei,188,19.3
Amazona_pretrei,209,21.3
Amazona_pretrei,206,20.6
Amazona_pretrei,204,22.4
Amazona_pretrei,207,22.5
Amazona_rhodocorytha,215,31.6
Amazona_rhodocorytha,205,28.9
Amazona_rhodocorytha,205,32
Amazona_rhodocorytha,212,31
Amazona_tucumana,196,21.2
Amazona_tucumana,201,22.1
Amazona_tucumana,192,22.1
Amazona_tucumana,198,22.7
Amazona_ventralis,184,27
Amazona_ventralis,180,26.2
Amazona_ventralis,185,26.7
Amazona_ventralis,187,26
Amazona_versicolor,262,31
Amazona_versicolor,253,33.8
Amazona_versicolor,256,30.6
Amazona_versicolor,246,33.3
Amazona_vinacea,211,25.6
Amazona_vinacea,213,26.7
Amazona_vinacea,201,25.1
Amazona_vinacea,224,28
Amazona_viridigenalis,208,27.1
Amazona_viridigenalis,201,25.7
Amazona_viridigenalis,186,25.2
Amazona_viridigenalis,187,29.7
Amazona_vittata,181,28
Amazona_vittata,182,26.9
Amazona_vittata,183,27.7
Amazona_vittata,183,28
Amazonetta_brasiliensis,166,13.6
Amazonetta_brasiliensis,178,14.2
Amazonetta_brasiliensis,171,12.6
Amazonetta_brasiliensis,179,13.2
Amazonetta_brasiliensis,181,11.6
Amazonetta_brasiliensis,218,13.5
Amazonetta_brasiliensis,184,12.3
Amazonetta_brasiliensis,186,12
Amazonetta_brasiliensis,166,11.3
Amblyornis_inornata,132,9
Amblyornis_inornata,131,9.4
Amblyornis_inornata,126,9
Amblyornis_inornata,125,8.4
Amblyornis_macgregoriae,140,8.2
Amblyornis_macgregoriae,138,8.5
Amblyornis_macgregoriae,129,8.6
Amblyornis_macgregoriae,136,8.2
Amblyornis_macgregoriae,128,9.5
Amblyornis_macgregoriae,132,9
Amblyornis_macgregoriae,124,8.7
Amblyornis_macgregoriae,126,9.5
Amblyornis_subalaris,120,7.9
Amblyornis_subalaris,121,8.8
Amblyornis_subalaris,120,7.7
Amblyornis_subalaris,120,8.9
Amblyornis_subalaris,122.5,NA
Amblyospiza_albifrons,96,15.2
Amblyospiza_albifrons,94.5,17.2
Amblyospiza_albifrons,83,13.8
Amblyospiza_albifrons,84.5,14.2
Amblyospiza_albifrons,96,NA
Ammodramus_aurifrons,54,5.8
Ammodramus_aurifrons,55,5.1
Ammodramus_aurifrons,56,5.4
Ammodramus_aurifrons,57,5.3
Ammodramus_bairdii,71,4.9
Ammodramus_bairdii,62,5.4
Ammodramus_bairdii,63,4.4
Ammodramus_bairdii,65,5.4
Ammodramus_caudacutus,NA,5.3
Ammodramus_caudacutus,56,5.5
Ammodramus_caudacutus,59,5.5
Ammodramus_caudacutus,57,5.2
Ammodramus_caudacutus,56.5,5.2
Ammodramus_henslowii,54,7.4
Ammodramus_henslowii,52,6.8
Ammodramus_henslowii,54,7.1
Ammodramus_henslowii,53,6.7
Ammodramus_henslowii,54,6.9
Ammodramus_henslowii,57,5.8
Ammodramus_henslowii,55,7
Ammodramus_henslowii,56,6.8
Ammodramus_humeralis,55,5.9
Ammodramus_humeralis,58,6.2
Ammodramus_humeralis,57,6.2
Ammodramus_humeralis,55,6.3
Ammodramus_nelsoni,58,5.1
