"","x"
"960","Cyanocorax caeruleus"
"961","Cyanocorax chrysops"
"962","Cyanocorax cristatellus"
"963","Cyanocorax cyanomelas"
"964","Cyanocorax cyanopogon"
"965","Cyanocorax heilprini"
"966","Cyanocorax morio"
"967","Cyanocorax mystacalis"
"968","Cyanocorax sanblasianus"
"969","Cyanocorax violaceus"
"970","Cyanocorax yncas"
"971","Cyanocorax yucatanicus"
"972","Cyanolanius madagascarinus"
"973","Cyanoloxia glaucocaerulea"
"974","Cyanolyca argentigula"
"975","Cyanolyca cucullata"
"976","Cyanolyca mirabilis"
"977","Cyanolyca nana"
"978","Cyanolyca pulchra"
"979","Cyanolyca pumilo"
"980","Cyanolyca turcosa"
"981","Cyanolyca viridicyanus"
"982","Cyanoramphus auriceps"
"983","Cyanoramphus forbesi"
"984","Cyanoramphus malherbi"
"985","Cyanoramphus novaezelandiae"
"986","Cyanoramphus unicolor"
"987","Cygnus atratus"
"988","Cygnus buccinator"
"989","Cygnus columbianus"
"990","Cygnus cygnus"
"991","Cygnus olor"
"992","Cymbilaimus lineatus"
"993","Cymbilaimus sanctaemariae"
"994","Cymbirhynchus macrorhynchos"
"995","Cynanthus latirostris"
"996","Cynanthus sordidus"
"997","Cypsiurus balasiensis"
"998","Cypsiurus parvus"
"999","Cypsnagra hirundinacea"
"1000","Dacelo leachii"
"1001","Dacelo novaeguineae"
"1002","Damophila julie"
"1003","Daphoenositta chrysoptera"
"1004","Daphoenositta miranda"
"1005","Dasylophus cumingi"
"1006","Dasylophus superciliosus"
"1007","Dasyornis brachypterus"
"1008","Dasyornis broadbenti"
"1009","Dasyornis longirostris"
"1010","Delichon dasypus"
"1011","Delichon nipalense"
"1012","Delothraupis castaneoventris"
"1013","Dendrexetastes rufigula"
"1014","Dendrocincla anabatina"
"1015","Dendrocincla fuliginosa"
"1016","Dendrocolaptes certhia"
"1017","Dendrocolaptes picumnus"
"1018","Dendrocolaptes platyrostris"
"1019","Dendrocolaptes sanctithomae"
"1020","Dendrocygna arborea"
"1021","Dendrocygna autumnalis"
"1022","Dendrocygna bicolor"
"1023","Dendrocygna eytoni"
"1024","Dendrocygna guttata"
"1025","Dendrocygna javanica"
"1026","Dendrocygna viduata"
"1027","Dendroica angelae"
"1028","Dendroica caerulescens"
"1029","Dendroica castanea"
"1030","Dendroica cerulea"
"1031","Dendroica chrysoparia"
"1032","Dendroica coronata"
"1033","Dendroica discolor"
"1034","Dendroica dominica"
"1035","Dendroica graciae"
"1036","Dendroica kirtlandii"
"1037","Dendroica nigrescens"
"1038","Dendroica occidentalis"
"1039","Dendroica pensylvanica"
"1040","Dendroica petechia"
"1041","Dendroica pharetra"
"1042","Dendroica pinus"
"1043","Dendroica pityophila"
"1044","Dendroica plumbea"
"1045","Dendroica striata"
"1046","Dendroica tigrina"
"1047","Dendroica townsendi"
"1048","Dendroica virens"
"1049","Dendroica vitellina"
"1050","Dendropicos goertae"
"1051","Dendropicos griseocephalus"
"1052","Dichrozona cincta"
"1053","Dicrurus adsimilis"
"1054","Dicrurus aldabranus"
"1055","Dicrurus annectans"
"1056","Dicrurus atripennis"
"1057","Dicrurus balicassius"
"1058","Dicrurus bracteatus"
"1059","Dicrurus forficatus"
"1060","Dicrurus hottentottus"
"1061","Dicrurus ludwigii"
"1062","Dicrurus macrocercus"
"1063","Dicrurus megarhynchus"
"1064","Dicrurus paradiseus"
"1065","Didunculus strigirostris"
"1066","Diglossa albilatera"
"1067","Diglossa baritula"
"1068","Diglossa brunneiventris"
"1069","Diglossa carbonaria"
"1070","Diglossa duidae"
"1071","Diglossa gloriosa"
"1072","Diglossa gloriosissima"
"1073","Diglossa humeralis"
"1074","Diglossa lafresnayii"
"1075","Diglossa major"
"1076","Diglossa plumbea"
"1077","Diglossa venezuelensis"
"1078","Diglossopsis caerulescens"
"1079","Diglossopsis cyanea"
"1080","Dinemellia dinemelli"
"1081","Diopsittaca nobilis"
"1082","Diphyllodes magnificus"
"1083","Diphyllodes respublica"
"1084","Discosura langsdorffi"
"1085","Discosura popelairii"
"1086","Dolichonyx oryzivorus"
"1087","Dolospingus fringilloides"
"1088","Donacospiza albifrons"
"1089","Doryfera johannae"
"1090","Doryfera ludovicae"
"1091","Drepanornis albertisi"
"1092","Drepanornis bruijnii"
"1093","Dromococcyx pavoninus"
"1094","Dromococcyx phasianellus"
"1095","Drymophila caudata"
"1096","Drymophila devillei"
"1097","Drymophila ferruginea"
"1098","Drymophila genei"
"1099","Drymophila ochropyga"
"1100","Drymophila rubricollis"
"1101","Drymophila squamata"
"1102","Drymornis bridgesii"
"1103","Dubusia taeniata"
"1104","Dulus dominicus"
"1105","Dumetella carolinensis"
"1106","Dumetia hyperythra"
"1107","Dupetor flavicollis"
"1108","Dyaphorophyia castanea"
"1109","Dyaphorophyia chalybea"
"1110","Dyaphorophyia jamesoni"
"1111","Dyaphorophyia tonsa"
"1112","Egretta intermedia"
"1113","Elaenia albiceps"
"1114","Elaenia chiriquensis"
"1115","Elaenia cristata"
"1116","Elaenia dayi"
"1117","Elaenia fallax"
"1118","Elaenia flavogaster"
"1119","Elaenia frantzii"
"1120","Elaenia martinica"
"1121","Elaenia mesoleuca"
"1122","Elaenia obscura"
"1123","Elaenia pallatangae"
"1124","Elaenia parvirostris"
"1125","Elaenia pelzelni"
"1126","Elaenia ruficeps"
"1127","Elaenia spectabilis"
"1128","Eleoscytalopus indigoticus"
"1129","Eleoscytalopus psychopompus"
"1130","Eleothreptus anomalus"
"1131","Elminia albicauda"
"1132","Elminia albiventris"
"1133","Elminia albonotatus"
"1134","Elminia longicauda"
"1135","Elseyornis melanops"
"1136","Elvira chionura"
"1137","Elvira cupreiceps"
"1138","Emberiza aureola"
"1139","Emberiza bruniceps"
"1140","Emberiza cabanisi"
"1141","Emberiza caesia"
"1142","Emberiza cia"
"1143","Emberiza cioides"
"1144","Emberiza citrinella"
"1145","Emberiza elegans"
"1146","Emberiza flaviventris"
"1147","Emberiza fucata"
"1148","Emberiza godlewskii"
"1149","Emberiza hortulana"
"1150","Emberiza impetuani"
"1151","Emberiza leucocephalos"
"1152","Emberiza melanocephala"
"1153","Emberiza pallasi"
"1154","Emberiza pusilla"
"1155","Emberiza rutila"
"1156","Emberiza schoeniclus"
"1157","Emberiza siemsseni"
"1158","Emberiza spodocephala"
"1159","Emberiza striolata"
"1160","Emberiza sulphurata"
"1161","Emberiza tahapisi"
"1162","Emberiza tristrami"
"1163","Emberiza variabilis"
"1164","Emblema pictum"
"1165","Eminia lepida"
"1166","Empidonax affinis"
"1167","Empidonax alnorum"
"1168","Empidonax atriceps"
"1169","Empidonax difficilis"
"1170","Empidonax fulvifrons"
"1171","Empidonax minimus"
"1172","Empidonax oberholseri"
"1173","Empidonax occidentalis"
"1174","Empidonax traillii"
"1175","Empidonax wrightii"
"1176","Empidonomus varius"
"1177","Empidornis semipartitus"
"1178","Enicurus leschenaulti"
"1179","Enicurus maculatus"
"1180","Enicurus schistaceus"
"1181","Enicurus scouleri"
"1182","Enodes erythrophris"
"1183","Ensifera ensifera"
"1184","Entomodestes coracinus"
"1185","Entomodestes leucotis"
"1186","Eophona migratoria"
"1187","Eophona personata"
"1188","Eopsaltria australis"
"1189","Eopsaltria flaviventris"
"1190","Eopsaltria griseogularis"
"1191","Ephippiorhynchus asiaticus"
"1192","Ephippiorhynchus senegalensis"
"1193","Epimachus fastuosus"
"1194","Epimachus meyeri"
"1195","Epinecrophylla erythrura"
"1196","Epinecrophylla haematonota"
"1197","Epinecrophylla leucophthalma"
"1198","Epinecrophylla spodionota"
"1199","Epthianura albifrons"
"1200","Epthianura aurifrons"
"1201","Epthianura crocea"
"1202","Epthianura tricolor"
"1203","Eremalauda dunni"
"1204","Eremophila alpestris"
"1205","Eremophila bilopha"
"1206","Ergaticus ruber"
"1207","Ergaticus versicolor"
"1208","Erithacus akahige"
"1209","Erithacus komadori"
"1210","Erithacus rubecula"
"1211","Erythropygia barbata"
"1212","Erythropygia galactotes"
"1213","Erythropygia hartlaubi"
"1214","Erythropygia leucophrys"
"1215","Erythropygia leucosticta"
"1216","Erythropygia quadrivirgata"
"1217","Euaegotheles crinifrons"
"1218","Euaegotheles insignis"
"1219","Euaegotheles tatei"
"1220","Eucometis penicillata"
"1221","Eudocimus albus"
"1222","Eudocimus ruber"
"1223","Eugenes fulgens"
"1224","Eugerygone rubra"
"1225","Eulacestoma nigropectus"
"1226","Eulampis holosericeus"
"1227","Eulampis jugularis"
"1228","Euneornis campestris"
"1229","Eunymphicus cornutus"
"1230","Eunymphicus uvaeensis"
"1231","Eupetomena macroura"
"1232","Euphagus carolinus"
"1233","Euphagus cyanocephalus"
"1234","Euplectes afer"
"1235","Euplectes albonotatus"
"1236","Euplectes ardens"
"1237","Euplectes aureus"
"1238","Euplectes axillaris"
"1239","Euplectes capensis"
"1240","Euplectes diadematus"
"1241","Euplectes franciscanus"
"1242","Euplectes gierowii"
"1243","Euplectes hordeaceus"
"1244","Euplectes macrourus"
"1245","Euplectes nigroventris"
"1246","Euplectes orix"
"1247","Euplectes progne"
"1248","Euplectes psammocromius"
"1249","Eupodotis caerulescens"
"1250","Eupodotis humilis"
"1251","Eupodotis senegalensis"
"1252","Eurochelidon sirintarae"
"1253","Eurylaimus javanicus"
"1254","Eurylaimus ochromalus"
"1255","Eurynorhynchus pygmeus"
"1256","Euryptila subcinnamomea"
"1257","Eurypyga helias"
"1258","Eurystomus glaucurus"
"1259","Eurystomus orientalis"
"1260","Euscarthmus meloryphus"
"1261","Euscarthmus rufomarginatus"
"1262","Euschistospiza cinereovinacea"
"1263","Euschistospiza dybowskii"
"1264","Eutoxeres aquila"
"1265","Eutoxeres condamini"
"1266","Excalfactoria chinensis"
"1267","Falcipennis canadensis"
"1268","Falcipennis falcipennis"
"1269","Falco amurensis"
"1270","Falco araeus"
"1271","Falco berigora"
"1272","Falco biarmicus"
"1273","Falco cenchroides"
"1274","Falco cherrug"
"1275","Falco chicquera"
"1276","Falco columbarius"
"1277","Falco concolor"
"1278","Falco cuvierii"
"1279","Falco deiroleucus"
"1280","Falco dickinsoni"
"1281","Falco eleonorae"
"1282","Falco femoralis"
"1283","Falco jugger"
"1284","Falco longipennis"
"1285","Falco mexicanus"
"1286","Falco newtoni"
"1287","Falco novaeseelandiae"
"1288","Falco rufigularis"
"1289","Falco rusticolus"
"1290","Falco sparverius"
"1291","Falco subbuteo"
"1292","Falco subniger"
"1293","Falco tinnunculus"
"1294","Falco vespertinus"
"1295","Falco zoniventris"
"1296","Falcunculus frontatus"
"1297","Ficedula albicilla"
"1298","Ficedula albicollis"
"1299","Ficedula bonthaina"
"1300","Ficedula buruensis"
"1301","Ficedula crypta"
"1302","Ficedula disposita"
"1303","Ficedula dumetoria"
"1304","Ficedula harterti"
"1305","Ficedula hodgsonii"
"1306","Ficedula hyperythra"
"1307","Ficedula hypoleuca"
"1308","Ficedula mugimaki"
"1309","Ficedula narcissina"
"1310","Ficedula nigrorufa"
"1311","Ficedula parva"
"1312","Ficedula platenae"
"1313","Ficedula rufigula"
"1314","Ficedula timorensis"
"1315","Ficedula tricolor"
"1316","Ficedula westermanni"
"1317","Ficedula zanthopygia"
"1318","Florisuga fusca"
"1319","Florisuga mellivora"
"1320","Fluvicola albiventer"
"1321","Fluvicola nengeta"
"1322","Fluvicola pica"
"1323","Fraseria cinerascens"
"1324","Fraseria ocreata"
"1325","Frederickena unduligera"
"1326","Frederickena viridis"
"1327","Fringilla coelebs"
"1328","Fringilla teydea"
"1329","Fulica americana"
"1330","Fulica ardesiaca"
"1331","Fulica armillata"
"1332","Fulica cornuta"
"1333","Fulica gigantea"
"1334","Fulica rufifrons"
"1335","Gallus gallus"
"1336","Gallus varius"
"1337","Gavia adamsii"
"1338","Gavia immer"
"1339","Geobiastes squamiger"
"1340","Geococcyx californianus"
"1341","Geococcyx velox"
"1342","Geositta antarctica"
"1343","Geositta crassirostris"
"1344","Geositta cunicularia"
"1345","Geositta isabellina"
"1346","Geositta maritima"
"1347","Geositta poeciloptera"
"1348","Geositta punensis"
"1349","Geositta rufipennis"
"1350","Geositta saxicolina"
"1351","Geositta tenuirostris"
"1352","Geospiza conirostris"
"1353","Geospiza difficilis"
"1354","Geospiza fuliginosa"
"1355","Geospiza magnirostris"
"1356","Geospiza scandens"
"1357","Geothlypis aequinoctialis"
"1358","Geothlypis flavovelata"
"1359","Geothlypis nelsoni"
"1360","Geothlypis poliocephala"
"1361","Geothlypis semiflava"
"1362","Geothlypis speciosa"
"1363","Geothlypis trichas"
"1364","Geranoaetus melanoleucus"
"1365","Geranospiza caerulescens"
"1366","Geronticus calvus"
"1367","Geronticus eremita"
"1368","Gracula ptilogenys"
"1369","Gracula religiosa"
"1370","Gracupica contra"
"1371","Gracupica nigricollis"
"1372","Grafisia torquata"
"1373","Granatellus sallaei"
"1374","Granatellus venustus"
"1375","Grantiella picta"
"1376","Graydidascalus brachyurus"
"1377","Griseotyrannus aurantioatrocristatus"
"1378","Grus antigone"
"1379","Grus monacha"
"1380","Grus nigricollis"
"1381","Grus rubicunda"
"1382","Guarouba guarouba"
"1383","Gubernatrix cristata"
"1384","Gubernetes yetapa"
"1385","Guira guira"
"1386","Guttera plumifera"
"1387","Guttera pucherani"
"1388","Gymnocichla nudiceps"
"1389","Gymnoderus foetidus"
"1390","Gymnogyps californianus"
"1391","Gymnomystax mexicanus"
"1392","Gymnopithys leucaspis"
"1393","Gymnopithys lunulatus"
"1394","Gymnopithys rufigula"
"1395","Gymnopithys salvini"
"1396","Gypaetus barbatus"
"1397","Gyps coprotheres"
"1398","Gyps fulvus"
"1399","Gyps indicus"
"1400","Gyps rueppellii"
"1401","Gyps tenuirostris"
"1402","Haematopus ater"
"1403","Haematopus chathamensis"
"1404","Haematopus ostralegus"
"1405","Haematopus palliatus"
"1406","Haematopus unicolor"
"1407","Haematospiza sipahi"
"1408","Haliaeetus albicilla"
"1409","Haliaeetus leucocephalus"
"1410","Haliaeetus leucogaster"
"1411","Haliaeetus leucoryphus"
"1412","Haliaeetus pelagicus"
"1413","Haliaeetus sanfordi"
"1414","Haliaeetus vocifer"
"1415","Haliaeetus vociferoides"
"1416","Haliastur indus"
"1417","Haliastur sphenurus"
"1418","Hamirostra melanosternon"
"1419","Haplochelidon andecola"
"1420","Haplospiza rustica"
"1421","Haplospiza unicolor"
"1422","Harpactes ardens"
"1423","Harpactes diardii"
"1424","Harpactes duvaucelii"
"1425","Harpactes erythrocephalus"
"1426","Harpactes fasciatus"
"1427","Harpactes kasumba"
"1428","Harpactes orrhophaeus"
"1429","Harpactes wardi"
"1430","Harpactes whiteheadi"
"1431","Harpia harpyja"
"1432","Harpyhaliaetus coronatus"
"1433","Harpyhaliaetus solitarius"
"1434","Harpyopsis novaeguineae"
"1435","Hartertula flavoviridis"
"1436","Hartlaubius auratus"
"1437","Heliangelus exortis"
"1438","Heliangelus micraster"
"1439","Heliobletus contaminatus"
"1440","Heliodoxa branickii"
"1441","Heliodoxa gularis"
"1442","Heliodoxa imperatrix"
"1443","Heliodoxa jacula"
"1444","Heliodoxa leadbeateri"
"1445","Heliodoxa rubinoides"
"1446","Heliopais personatus"
"1447","Heliornis fulica"
"1448","Heliothryx auritus"
"1449","Heliothryx barroti"
"1450","Hemiprocne longipennis"
"1451","Hemiprocne mystacea"
"1452","Hemipus hirundinaceus"
"1453","Hemipus picatus"
"1454","Hemispingus calophrys"
"1455","Hemispingus frontalis"
"1456","Hemispingus melanotis"
"1457","Hemispingus parodii"
"1458","Hemispingus superciliaris"
"1459","Hemispingus trifasciatus"
"1460","Hemispingus verticalis"
"1461","Hemispingus xanthophthalmus"
"1462","Hemixos castanonotus"
"1463","Hemixos flavala"
"1464","Henicorhina leucophrys"
"1465","Henicorhina leucoptera"
"1466","Henicorhina leucosticta"
"1467","Heteromyias albispecularis"
"1468","Heteronetta atricapilla"
"1469","Heterospingus rubrifrons"
"1470","Heterospingus xanthopygius"
"1471","Hieraaetus morphnoides"
"1472","Hieraaetus pennatus"
"1473","Hieraaetus spilogaster"
"1474","Hieraaetus weiskei"
"1475","Hierococcyx sparverioides"
"1476","Hierococcyx vagans"
"1477","Hierococcyx varius"
"1478","Himantopus himantopus"
"1479","Himantopus novaezelandiae"
"1480","Himatione sanguinea"
"1481","Hippolais caligata"
"1482","Hippolais icterina"
"1483","Hippolais languida"
"1484","Hippolais olivetorum"
"1485","Hippolais opaca"
"1486","Hippolais pallida"
"1487","Hippolais polyglotta"
"1488","Hippolais rama"
"1489","Hirundinea ferruginea"
"1490","Hirundo aethiopica"
"1491","Hirundo albigularis"
"1492","Hirundo atrocaerulea"
"1493","Hirundo dimidiata"
"1494","Hirundo lucida"
"1495","Hirundo megaensis"
"1496","Hirundo neoxena"
"1497","Hirundo nigrorufa"
"1498","Hirundo smithii"
"1499","Hirundo tahitica"
"1500","Histrionicus histrionicus"
"1501","Hodgsonius phaenicuroides"
"1502","Horizorhinus dohrni"
"1503","Houbaropsis bengalensis"
"1504","Hydrocoloeus minutus"
"1505","Hydropsalis climacocerca"
"1506","Hydropsalis torquata"
"1507","Hylia prasina"
"1508","Hylocharis chrysura"
"1509","Hylocharis cyanus"
"1510","Hylocharis eliciae"
"1511","Hylocharis sapphirina"
"1512","Hylocichla mustelina"
"1513","Hylocitrea bonensis"
"1514","Hylophylax naevioides"
"1515","Hylophylax naevius"
"1516","Hylopsar cupreocauda"
"1517","Hylopsar purpureiceps"
"1518","Hymenolaimus malacorhynchos"
"1519","Hymenops perspicillatus"
"1520","Hypargos margaritatus"
"1521","Hypargos niveoguttatus"
"1522","Hypergerus atriceps"
"1523","Hypocolius ampelinus"
"1524","Hypocryptadius cinnamomeus"
"1525","Hypoedaleus guttatus"
"1526","Hypopyrrhus pyrohypogaster"
"1527","Hypsipetes borbonicus"
"1528","Hypsipetes crassirostris"
"1529","Hypsipetes leucocephalus"
"1530","Hypsipetes madagascariensis"
"1531","Hypsipetes olivaceus"
"1532","Hypsipetes parvirostris"
"1533","Ichthyaetus ichthyaetus"
"1534","Ichthyaetus melanocephalus"
"1535","Ichthyophaga humilis"
"1536","Ichthyophaga ichthyaetus"
"1537","Icterus abeillei"
"1538","Icterus auratus"
"1539","Icterus auricapillus"
"1540","Icterus bonana"
"1541","Icterus bullockii"
"1542","Icterus cayanensis"
"1543","Icterus chrysater"
"1544","Icterus cucullatus"
"1545","Icterus dominicensis"
"1546","Icterus galbula"
"1547","Icterus graceannae"
"1548","Icterus graduacauda"
"1549","Icterus gularis"
"1550","Icterus icterus"
"1551","Icterus jamaicaii"
"1552","Icterus laudabilis"
"1553","Icterus leucopteryx"
"1554","Icterus nigrogularis"
"1555","Icterus oberi"
"1556","Icterus pectoralis"
"1557","Icterus prosthemelas"
"1558","Icterus pustulatus"
"1559","Icterus spurius"
"1560","Icterus wagleri"
"1561","Ictinia mississippiensis"
"1562","Ictinia plumbea"
"1563","Idiopsar brachyurus"
"1564","Ilicura militaris"
"1565","Illadopsis albipectus"
"1566","Illadopsis cleaveri"
"1567","Illadopsis puveli"
"1568","Illadopsis pyrrhoptera"
"1569","Illadopsis rufescens"
"1570","Illadopsis rufipennis"
"1571","Incana incana"
"1572","Inezia caudata"
"1573","Inezia inornata"
"1574","Inezia subflava"
"1575","Irania gutturalis"
"1576","Irediparra gallinacea"
"1577","Irena cyanogastra"
"1578","Irena puella"
"1579","Iridophanes pulcherrimus"
"1580","Iridosornis analis"
"1581","Iridosornis porphyrocephalus"
"1582","Iridosornis reinhardti"
"1583","Iridosornis rufivertex"
"1584","Ispidina lecontei"
"1585","Ispidina picta"
"1586","Ixobrychus cinnamomeus"
"1587","Ixobrychus eurhythmus"
"1588","Ixobrychus involucris"
"1589","Ixobrychus minutus"
"1590","Ixobrychus sinensis"
"1591","Ixonotus guttatus"
"1592","Ixos everetti"
"1593","Ixos malaccensis"
"1594","Ixos mcclellandii"
"1595","Ixos philippinus"
"1596","Ixos rufigularis"
"1597","Ixos siquijorensis"
"1598","Jacana jacana"
"1599","Jacana spinosa"
"1600","Kakamega poliothorax"
"1601","Knipolegus aterrimus"
"1602","Knipolegus cyanirostris"
"1603","Knipolegus franciscanus"
"1604","Knipolegus hudsoni"
"1605","Knipolegus lophotes"
"1606","Knipolegus nigerrimus"
"1607","Knipolegus poecilurus"
"1608","Knipolegus signatus"
"1609","Knipolegus striaticeps"
"1610","Lagonosticta larvata"
"1611","Lagonosticta nitidula"
"1612","Lagonosticta rara"
"1613","Lagonosticta rufopicta"
"1614","Lagopus lagopus"
"1615","Lagopus muta"
"1616","Lalage atrovirens"
"1617","Lalage leucomela"
"1618","Lalage leucopyga"
"1619","Lalage leucopygialis"
"1620","Lalage maculosa"
"1621","Lalage nigra"
"1622","Lalage sharpei"
"1623","Lalage sueurii"
"1624","Lalage tricolor"
"1625","Lampornis amethystinus"
"1626","Lampornis calolaemus"
"1627","Lampornis castaneoventris"
"1628","Lampornis clemenciae"
"1629","Lampornis hemileucus"
"1630","Lampornis sybillae"
"1631","Lampornis viridipallens"
"1632","Lamprolaima rhami"
"1633","Lamprolia victoriae"
"1634","Lampropsar tanagrinus"
"1635","Lamprospiza melanoleuca"
"1636","Lamprotornis acuticaudus"
"1637","Lamprotornis albicapillus"
"1638","Lamprotornis caudatus"
"1639","Lamprotornis chalcurus"
"1640","Lamprotornis chloropterus"
"1641","Lamprotornis fischeri"
"1642","Lamprotornis hildebrandti"
"1643","Lamprotornis mevesii"
"1644","Lamprotornis nitens"
"1645","Lamprotornis ornatus"
"1646","Lamprotornis pulcher"
"1647","Lamprotornis purpuroptera"
"1648","Lamprotornis shelleyi"
"1649","Lamprotornis splendidus"
"1650","Lamprotornis superbus"
"1651","Lamprotornis unicolor"
"1652","Laniarius aethiopicus"
"1653","Laniarius atrococcineus"
"1654","Laniarius atroflavus"
"1655","Laniarius barbarus"
"1656","Laniarius bicolor"
"1657","Laniarius erythrogaster"
"1658","Laniarius ferrugineus"
"1659","Laniarius fuelleborni"
"1660","Laniarius leucorhynchus"
"1661","Laniarius luehderi"
"1662","Laniarius mufumbiri"
"1663","Laniarius poensis"
"1664","Laniarius ruficeps"
"1665","Laniarius turatii"
"1666","Lanio aurantius"
"1667","Lanio fulvus"
"1668","Lanio leucothorax"
"1669","Lanio versicolor"
"1670","Lanius bucephalus"
"1671","Lanius collaris"
"1672","Lanius collurio"
"1673","Lanius cristatus"
"1674","Lanius dorsalis"
"1675","Lanius excubitor"
"1676","Lanius excubitoroides"
"1677","Lanius isabellinus"
"1678","Lanius ludovicianus"
"1679","Lanius mackinnoni"
"1680","Lanius minor"
"1681","Lanius nubicus"
"1682","Lanius senator"
"1683","Lanius sphenocercus"
"1684","Lanius tephronotus"
"1685","Larus armenicus"
"1686","Larus cachinnans"
"1687","Larus californicus"
"1688","Larus fuscus"
"1689","Larus michahellis"
"1690","Leiothrix argentauris"
"1691","Leiothrix lutea"
"1692","Lepidocolaptes affinis"
"1693","Lepidocolaptes albolineatus"
"1694","Lepidocolaptes angustirostris"
"1695","Lepidocolaptes falcinellus"
"1696","Lepidocolaptes lacrymiger"
"1697","Lepidocolaptes leucogaster"
"1698","Lepidocolaptes souleyetii"
"1699","Lepidocolaptes squamatus"
"1700","Lepidothrix coeruleocapilla"
"1701","Lepidothrix coronata"
"1702","Lepidothrix iris"
"1703","Lepidothrix nattereri"
"1704","Lepidothrix serena"
"1705","Lepidothrix suavissima"
"1706","Leptopoecile elegans"
"1707","Leptopoecile sophiae"
"1708","Lesbia nuna"
"1709","Lesbia victoriae"
"1710","Lessonia oreas"
"1711","Lessonia rufa"
"1712","Leucophaeus modestus"
"1713","Leucophaeus scoresbii"
"1714","Leucopternis albicollis"
"1715","Leucopternis kuhli"
"1716","Leucopternis lacernulatus"
"1717","Leucopternis melanops"
"1718","Leucopternis polionotus"
"1719","Leucopternis princeps"
"1720","Leucosticte atrata"
"1721","Leucosticte australis"
"1722","Leucosticte tephrocotis"
"1723","Limicola falcinellus"
"1724","Limnornis curvirostris"
"1725","Limnothlypis swainsonii"
"1726","Limosa fedoa"
"1727","Limosa haemastica"
"1728","Limosa lapponica"
"1729","Limosa limosa"
"1730","Liocichla omeiensis"
"1731","Liocichla phoenicea"
"1732","Liocichla steerii"
"1733","Lioptilus nigricapillus"
"1734","Liosceles thoracicus"
"1735","Lissotis hartlaubii"
"1736","Lissotis melanogaster"
"1737","Loboparadisea sericea"
"1738","Lochmias nematura"
"1739","Locustella certhiola"
"1740","Locustella fluviatilis"
"1741","Locustella luscinioides"
"1742","Locustella ochotensis"
"1743","Locustella pleskei"
"1744","Locustella pryeri"
"1745","Lophodytes cucullatus"
"1746","Lophoictinia isura"
"1747","Lophophanes cristatus"
"1748","Lophophanes dichrous"
"1749","Lophophorus impejanus"
"1750","Lophophorus sclateri"
"1751","Lophospingus griseocristatus"
"1752","Lophospingus pusillus"
"1753","Lophotis gindiana"
"1754","Lophotis savilei"
"1755","Lophotriccus galeatus"
"1756","Lophotriccus pileatus"
"1757","Lophotriccus vitiosus"
"1758","Lophura bulweri"
"1759","Lophura diardi"
"1760","Lophura erythrophthalma"
"1761","Lophura ignita"
"1762","Lophura inornata"
"1763","Lophura leucomelanos"
"1764","Lophura nycthemera"
"1765","Loxia curvirostra"
"1766","Loxia leucoptera"
"1767","Loxia megaplaga"
"1768","Loxia pytyopsittacus"
"1769","Loxia scotica"
"1770","Loxigilla noctis"
"1771","Loxigilla portoricensis"
"1772","Loxigilla violacea"
"1773","Loxipasser anoxanthus"
"1774","Loxops caeruleirostris"
"1775","Loxops coccineus"
"1776","Lurocalis rufiventris"
"1777","Lurocalis semitorquatus"
"1778","Luscinia brunnea"
"1779","Luscinia calliope"
"1780","Luscinia cyane"
"1781","Luscinia luscinia"
"1782","Luscinia megarhynchos"
"1783","Luscinia pectoralis"
"1784","Luscinia sibilans"
"1785","Luscinia svecica"
"1786","Lyrurus mlokosiewiczi"
"1787","Lyrurus tetrix"
"1788","Machaeropterus deliciosus"
"1789","Machaeropterus pyrocephalus"
"1790","Machaeropterus regulus"
"1791","Macheiramphus alcinus"
"1792","Machetornis rixosa"
"1793","Mackenziaena leachii"
"1794","Mackenziaena severa"
"1795","Macroagelaius imthurni"
"1796","Macroagelaius subalaris"
"1797","Macrodipteryx longipennis"
"1798","Macrodipteryx vexillarius"
"1799","Manacus aurantiacus"
"1800","Manacus candei"
"1801","Manacus manacus"
"1802","Manacus vitellinus"
"1803","Manorina flavigula"
"1804","Manorina melanocephala"
"1805","Manucodia ater"
"1806","Manucodia chalybatus"
"1807","Manucodia comrii"
"1808","Manucodia jobiensis"
"1809","Margarornis bellulus"
"1810","Margarornis squamiger"
"1811","Masius chrysopterus"
"1812","Megabyas flammulatus"
"1813","Megaceryle alcyon"
"1814","Megaceryle torquata"
"1815","Megacrex inepta"
"1816","Megarynchus pitangua"
"1817","Megastictus margaritatus"
"1818","Megaxenops parnaguae"
"1819","Melampitta gigantea"
"1820","Melampitta lugubris"
"1821","Melanitta fusca"
"1822","Melanitta perspicillata"
"1823","Melanochlora sultanea"
"1824","Melanodera melanodera"
"1825","Melanodera xanthogramma"
"1826","Melanodryas cucullata"
"1827","Melanodryas vittata"
"1828","Melanopareia maximiliani"
"1829","Melanopareia torquata"
"1830","Melanoptila glabrirostris"
"1831","Melanospiza richardsoni"
"1832","Melanotis caerulescens"
"1833","Melanotis hypoleucus"
"1834","Melierax canorus"
"1835","Melierax poliopterus"
"1836","Meliphaga albilineata"
"1837","Meliphaga albonotata"
"1838","Meliphaga analoga"
"1839","Meliphaga aruensis"
"1840","Meliphaga gracilis"
"1841","Meliphaga lewinii"
"1842","Meliphaga mimikae"
"1843","Meliphaga montana"
"1844","Meliphaga notata"
"1845","Meliphaga orientalis"
